text,intent,lang
hello,greeting,en
hello friend,greeting,en
hello today,greeting,en
hello there,greeting,en
hello again,greeting,en
hi,greeting,en
hi friend,greeting,en
hi today,greeting,en
hi there,greeting,en
hi again,greeting,en
hey,greeting,en
hey friend,greeting,en
hey today,greeting,en
hey there,greeting,en
hey again,greeting,en
good morning,greeting,en
good morning friend,greeting,en
good morning today,greeting,en
good morning there,greeting,en
good morning again,greeting,en
good afternoon,greeting,en
good afternoon friend,greeting,en
good afternoon today,greeting,en
good afternoon there,greeting,en
good afternoon again,greeting,en
good evening,greeting,en
good evening friend,greeting,en
good evening today,greeting,en
good evening there,greeting,en
good evening again,greeting,en
greetings,greeting,en
greetings friend,greeting,en
greetings today,greeting,en
greetings there,greeting,en
greetings again,greeting,en
hello there friend,greeting,en
hello there today,greeting,en
hello there there,greeting,en
hello there again,greeting,en
hi there friend,greeting,en
hi there today,greeting,en
hi there there,greeting,en
hi there again,greeting,en
hey there friend,greeting,en
hey there today,greeting,en
hey there there,greeting,en
hey there again,greeting,en
nice to meet you,greeting,en
nice to meet you friend,greeting,en
nice to meet you today,greeting,en
nice to meet you there,greeting,en
nice to meet you again,greeting,en
good day,greeting,en
good day friend,greeting,en
good day today,greeting,en
good day there,greeting,en
good day again,greeting,en
morning,greeting,en
morning friend,greeting,en
morning today,greeting,en
morning there,greeting,en
morning again,greeting,en
afternoon,greeting,en
afternoon friend,greeting,en
afternoon today,greeting,en
afternoon there,greeting,en
afternoon again,greeting,en
evening,greeting,en
evening friend,greeting,en
evening today,greeting,en
evening there,greeting,en
evening again,greeting,en
hello assistant,greeting,en
hello assistant friend,greeting,en
hello assistant today,greeting,en
hello assistant there,greeting,en
hello assistant again,greeting,en
hi assistant,greeting,en
hi assistant friend,greeting,en
hi assistant today,greeting,en
hi assistant there,greeting,en
hi assistant again,greeting,en
hey assistant,greeting,en
hey assistant friend,greeting,en
hey assistant today,greeting,en
hey assistant there,greeting,en
hey assistant again,greeting,en
hello lab assistant,greeting,en
hello lab assistant friend,greeting,en
hello lab assistant today,greeting,en
hello lab assistant there,greeting,en
hello lab assistant again,greeting,en
hi hematology assistant,greeting,en
hi hematology assistant friend,greeting,en
hi hematology assistant today,greeting,en
hi hematology assistant there,greeting,en
hi hematology assistant again,greeting,en
how are you,small_talk,en
how are you today,small_talk,en
how are you there,small_talk,en
how are you now,small_talk,en
how are you my friend,small_talk,en
how are u,small_talk,en
how are u today,small_talk,en
how are u there,small_talk,en
how are u now,small_talk,en
how are u my friend,small_talk,en
how r u,small_talk,en
how r u today,small_talk,en
how r u there,small_talk,en
how r u now,small_talk,en
how r u my friend,small_talk,en
how is it going,small_talk,en
how is it going today,small_talk,en
how is it going there,small_talk,en
how is it going now,small_talk,en
how is it going my friend,small_talk,en
how is going,small_talk,en
how is going today,small_talk,en
how is going there,small_talk,en
how is going now,small_talk,en
how is going my friend,small_talk,en
how's it going,small_talk,en
how's it going today,small_talk,en
how's it going there,small_talk,en
how's it going now,small_talk,en
how's it going my friend,small_talk,en
how are things,small_talk,en
how are things today,small_talk,en
how are things there,small_talk,en
how are things now,small_talk,en
how are things my friend,small_talk,en
whats up,small_talk,en
whats up today,small_talk,en
whats up there,small_talk,en
whats up now,small_talk,en
whats up my friend,small_talk,en
what's up,small_talk,en
what's up today,small_talk,en
what's up there,small_talk,en
what's up now,small_talk,en
what's up my friend,small_talk,en
how have you been,small_talk,en
how have you been today,small_talk,en
how have you been there,small_talk,en
how have you been now,small_talk,en
how have you been my friend,small_talk,en
hope you are well,small_talk,en
hope you are well today,small_talk,en
