text,intent,lang
in my report WBC is 3.9 age is 20,report_numeric_result_analysis,en
WBC is 3.9 and age is 20,report_numeric_result_analysis,en
My blood report says WBC 3.9 age 20,report_numeric_result_analysis,en
Please analyze WBC 3.9; age is 20,report_numeric_result_analysis,en
in my report WBC is 6.2 age is 20,report_numeric_result_analysis,en
WBC is 6.2 and age is 20,report_numeric_result_analysis,en
My blood report says WBC 6.2 age 20,report_numeric_result_analysis,en
Please analyze WBC 6.2; age is 20,report_numeric_result_analysis,en
in my report WBC is 11.4 age is 20,report_numeric_result_analysis,en
WBC is 11.4 and age is 20,report_numeric_result_analysis,en
My blood report says WBC 11.4 age 20,report_numeric_result_analysis,en
Please analyze WBC 11.4; age is 20,report_numeric_result_analysis,en
in my report WBC is 13.37 age is 20,report_numeric_result_analysis,en
WBC is 13.37 and age is 20,report_numeric_result_analysis,en
My blood report says WBC 13.37 age 20,report_numeric_result_analysis,en
Please analyze WBC 13.37; age is 20,report_numeric_result_analysis,en
in my report RBC is 3.2 age is 20,report_numeric_result_analysis,en
RBC is 3.2 and age is 20,report_numeric_result_analysis,en
My blood report says RBC 3.2 age 20,report_numeric_result_analysis,en
Please analyze RBC 3.2; age is 20,report_numeric_result_analysis,en
in my report RBC is 4.6 age is 20,report_numeric_result_analysis,en
RBC is 4.6 and age is 20,report_numeric_result_analysis,en
My blood report says RBC 4.6 age 20,report_numeric_result_analysis,en
Please analyze RBC 4.6; age is 20,report_numeric_result_analysis,en
in my report RBC is 5.8 age is 20,report_numeric_result_analysis,en
RBC is 5.8 and age is 20,report_numeric_result_analysis,en
My blood report says RBC 5.8 age 20,report_numeric_result_analysis,en
Please analyze RBC 5.8; age is 20,report_numeric_result_analysis,en
in my report HGB is 10.8 age is 20,report_numeric_result_analysis,en
HGB is 10.8 and age is 20,report_numeric_result_analysis,en
My blood report says HGB 10.8 age 20,report_numeric_result_analysis,en
Please analyze HGB 10.8; age is 20,report_numeric_result_analysis,en
in my report HGB is 13.0 age is 20,report_numeric_result_analysis,en
HGB is 13.0 and age is 20,report_numeric_result_analysis,en
My blood report says HGB 13.0 age 20,report_numeric_result_analysis,en
Please analyze HGB 13.0; age is 20,report_numeric_result_analysis,en
in my report HGB is 15.4 age is 20,report_numeric_result_analysis,en
HGB is 15.4 and age is 20,report_numeric_result_analysis,en
My blood report says HGB 15.4 age 20,report_numeric_result_analysis,en
Please analyze HGB 15.4; age is 20,report_numeric_result_analysis,en
in my report HGB is 17.8 age is 20,report_numeric_result_analysis,en
HGB is 17.8 and age is 20,report_numeric_result_analysis,en
My blood report says HGB 17.8 age 20,report_numeric_result_analysis,en
Please analyze HGB 17.8; age is 20,report_numeric_result_analysis,en
