created_at,session_id,user_text,detected_lang,intent,confidence,response,response_source,retrieval_intent,entity_label,model_key,requested_model_key,auto_switched,review_status,corrected_intent,admin_notes
2026-05-02 20:58:32.012684+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,HCT is 95.5,en,fallback,0.3395852744579315,"Hematocrit, often written as HCT, is the proportion of blood volume occupied by red blood cells. It is interpreted together with hemoglobin and RBC count.",retrieval,cbc_result_parameter,hematocrit_parameter,report,report,False,unreviewed,,
2026-05-02 20:57:12.438534+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,MCV is 33.2,en,fallback,0.3805961608886719,"MCV is mean corpuscular volume, the average size of red blood cells. It helps classify microcytic, normocytic, and macrocytic anemia patterns.",retrieval,rbc_term,mcv,report,report,False,unreviewed,,
2026-05-02 20:55:16.876280+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,PLT is 365,en,cbc_info,0.5408855080604553,"Platelet count measures the number of platelets in the blood. It is important when assessing clotting risk, bleeding tendency, and marrow function.",retrieval,cbc_info,platelet,report,report,False,unreviewed,,
2026-05-02 20:54:48.876795+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,WBC is 13.7,en,fallback,0.21211199462413788,"WBC count is the total number of white blood cells in the sample. It supports screening for infection, inflammation, marrow disorders, and other hematologic changes.",retrieval,wbc_term,wbc,report,report,False,unreviewed,,
2026-05-02 20:54:16.060643+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,My report show the anemia,en,fallback,0.2732759416103363,"Anemia is a laboratory and clinical term used when hemoglobin is below the reference range. In a hematology report it is commonly assessed with hemoglobin, hematocrit, RBC count, indices, and smear findings.",retrieval,anemia_related_term,anemia_term,report,report,False,unreviewed,,
2026-05-02 20:53:52.002872+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,What is the meaning of anemia,en,cbc_info,0.7968014478683472,"Anemia is a laboratory and clinical term used when hemoglobin is below the reference range. In a hematology report it is commonly assessed with hemoglobin, hematocrit, RBC count, indices, and smear findings.",retrieval,anemia_related_term,anemia_term,report,general,True,unreviewed,,
2026-05-02 20:52:15.658708+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,What does INR mean?,en,coag_test,0.9651135802268982,INR is the standardized reporting form of prothrombin time. It is widely used when following oral anticoagulation with warfarin.,retrieval,coag_test,inr,general,general,False,unreviewed,,
2026-05-02 20:52:12.235399+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,What happens if citrate tube is underfilled?,en,coag_test,0.9983431100845337,An underfilled citrate tube changes the blood-to-anticoagulant ratio and can falsely prolong PT and aPTT results. Most laboratories reject or recollect underfilled coagulation specimens.,retrieval,coag_test,citrate_tube,general,general,False,unreviewed,,
2026-05-02 20:52:09.473996+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,Which tube is used for coagulation tests?,en,coag_test,0.9996788501739502,Routine coagulation tests are usually collected in a light-blue sodium citrate tube. Correct fill volume is critical because the blood-to-anticoagulant ratio affects PT and aPTT results.,retrieval,coag_test,,general,general,False,unreviewed,,
2026-05-02 20:52:06.613575+06:30,f7e0416e-b46b-4b99-b805-30715256d27c,What is aPTT?,en,coag_test,0.9824192523956299,"aPTT, or activated partial thromboplastin time, evaluates the intrinsic and common coagulation pathways. It is used in coagulation screening and heparin-related monitoring workflows.",retrieval,coag_test,aptt,general,general,False,unreviewed,,
2026-04-19 10:38:48.083452+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,okay my report show WBC is very high what can mean?,en,fallback,0.40526124835014343,"WBC count is the total number of white blood cells in the sample. It supports screening for infection, inflammation, marrow disorders, and other hematologic changes.",retrieval,wbc_term,wbc,report,report,False,unreviewed,,
2026-04-18 21:54:34.077328+06:30,,hello,en,greeting,1.0,Hello! How can I help you today?,static,,,general,general,False,unreviewed,,
