text,intent,lang
adult male HGB is 11.8,report_numeric_result_analysis,en
My report says adult male hemoglobin 11.8,report_numeric_result_analysis,en
Please analyze adult male HGB 11.8,report_numeric_result_analysis,en
adult male HGB is 13.0,report_numeric_result_analysis,en
My report says adult male hemoglobin 13.0,report_numeric_result_analysis,en
Please analyze adult male HGB 13.0,report_numeric_result_analysis,en
adult male HGB is 14.2,report_numeric_result_analysis,en
My report says adult male hemoglobin 14.2,report_numeric_result_analysis,en
Please analyze adult male HGB 14.2,report_numeric_result_analysis,en
adult male HGB is 16.8,report_numeric_result_analysis,en
My report says adult male hemoglobin 16.8,report_numeric_result_analysis,en
Please analyze adult male HGB 16.8,report_numeric_result_analysis,en
adult male HGB is 18.1,report_numeric_result_analysis,en
My report says adult male hemoglobin 18.1,report_numeric_result_analysis,en
Please analyze adult male HGB 18.1,report_numeric_result_analysis,en
adult male HCT is 31,report_numeric_result_analysis,en
My report says adult male hematocrit 31,report_numeric_result_analysis,en
Please analyze adult male HCT 31,report_numeric_result_analysis,en
adult male HCT is 38,report_numeric_result_analysis,en
My report says adult male hematocrit 38,report_numeric_result_analysis,en
Please analyze adult male HCT 38,report_numeric_result_analysis,en
adult male HCT is 45,report_numeric_result_analysis,en
My report says adult male hematocrit 45,report_numeric_result_analysis,en
Please analyze adult male HCT 45,report_numeric_result_analysis,en
adult male HCT is 49,report_numeric_result_analysis,en
My report says adult male hematocrit 49,report_numeric_result_analysis,en
Please analyze adult male HCT 49,report_numeric_result_analysis,en
adult male HCT is 55,report_numeric_result_analysis,en
My report says adult male hematocrit 55,report_numeric_result_analysis,en
Please analyze adult male HCT 55,report_numeric_result_analysis,en
male HGB is 11.8,report_numeric_result_analysis,en
My report says male hemoglobin 11.8,report_numeric_result_analysis,en
Please analyze male HGB 11.8,report_numeric_result_analysis,en
male HGB is 13.0,report_numeric_result_analysis,en
My report says male hemoglobin 13.0,report_numeric_result_analysis,en
Please analyze male HGB 13.0,report_numeric_result_analysis,en
male HGB is 14.2,report_numeric_result_analysis,en
My report says male hemoglobin 14.2,report_numeric_result_analysis,en
Please analyze male HGB 14.2,report_numeric_result_analysis,en
male HGB is 16.8,report_numeric_result_analysis,en
My report says male hemoglobin 16.8,report_numeric_result_analysis,en
Please analyze male HGB 16.8,report_numeric_result_analysis,en
male HGB is 18.1,report_numeric_result_analysis,en
My report says male hemoglobin 18.1,report_numeric_result_analysis,en
Please analyze male HGB 18.1,report_numeric_result_analysis,en
male HCT is 31,report_numeric_result_analysis,en
My report says male hematocrit 31,report_numeric_result_analysis,en
Please analyze male HCT 31,report_numeric_result_analysis,en
male HCT is 38,report_numeric_result_analysis,en
My report says male hematocrit 38,report_numeric_result_analysis,en
Please analyze male HCT 38,report_numeric_result_analysis,en
male HCT is 45,report_numeric_result_analysis,en
My report says male hematocrit 45,report_numeric_result_analysis,en
Please analyze male HCT 45,report_numeric_result_analysis,en
male HCT is 49,report_numeric_result_analysis,en
My report says male hematocrit 49,report_numeric_result_analysis,en
Please analyze male HCT 49,report_numeric_result_analysis,en
male HCT is 55,report_numeric_result_analysis,en
My report says male hematocrit 55,report_numeric_result_analysis,en
Please analyze male HCT 55,report_numeric_result_analysis,en
adult female HGB is 11.8,report_numeric_result_analysis,en
My report says adult female hemoglobin 11.8,report_numeric_result_analysis,en
Please analyze adult female HGB 11.8,report_numeric_result_analysis,en
adult female HGB is 13.0,report_numeric_result_analysis,en
My report says adult female hemoglobin 13.0,report_numeric_result_analysis,en
Please analyze adult female HGB 13.0,report_numeric_result_analysis,en
adult female HGB is 14.2,report_numeric_result_analysis,en
My report says adult female hemoglobin 14.2,report_numeric_result_analysis,en
Please analyze adult female HGB 14.2,report_numeric_result_analysis,en
adult female HGB is 16.8,report_numeric_result_analysis,en
My report says adult female hemoglobin 16.8,report_numeric_result_analysis,en
Please analyze adult female HGB 16.8,report_numeric_result_analysis,en
adult female HGB is 18.1,report_numeric_result_analysis,en
My report says adult female hemoglobin 18.1,report_numeric_result_analysis,en
Please analyze adult female HGB 18.1,report_numeric_result_analysis,en
adult female HCT is 31,report_numeric_result_analysis,en
My report says adult female hematocrit 31,report_numeric_result_analysis,en
Please analyze adult female HCT 31,report_numeric_result_analysis,en
adult female HCT is 38,report_numeric_result_analysis,en
My report says adult female hematocrit 38,report_numeric_result_analysis,en
Please analyze adult female HCT 38,report_numeric_result_analysis,en
adult female HCT is 45,report_numeric_result_analysis,en
My report says adult female hematocrit 45,report_numeric_result_analysis,en
Please analyze adult female HCT 45,report_numeric_result_analysis,en
adult female HCT is 49,report_numeric_result_analysis,en
My report says adult female hematocrit 49,report_numeric_result_analysis,en
Please analyze adult female HCT 49,report_numeric_result_analysis,en
adult female HCT is 55,report_numeric_result_analysis,en
My report says adult female hematocrit 55,report_numeric_result_analysis,en
Please analyze adult female HCT 55,report_numeric_result_analysis,en
female HGB is 11.8,report_numeric_result_analysis,en
My report says female hemoglobin 11.8,report_numeric_result_analysis,en
Please analyze female HGB 11.8,report_numeric_result_analysis,en
female HGB is 13.0,report_numeric_result_analysis,en
My report says female hemoglobin 13.0,report_numeric_result_analysis,en
Please analyze female HGB 13.0,report_numeric_result_analysis,en
female HGB is 14.2,report_numeric_result_analysis,en
My report says female hemoglobin 14.2,report_numeric_result_analysis,en
Please analyze female HGB 14.2,report_numeric_result_analysis,en
female HGB is 16.8,report_numeric_result_analysis,en
My report says female hemoglobin 16.8,report_numeric_result_analysis,en
Please analyze female HGB 16.8,report_numeric_result_analysis,en
