text,intent,lang
child WBC is 3.8,report_numeric_result_analysis,en
My child report shows WBC 3.8,report_numeric_result_analysis,en
Please analyze child WBC 3.8,report_numeric_result_analysis,en
What does it mean if a child report has WBC 3.8?,report_numeric_result_analysis,en
The child blood report says WBC 3.8,report_numeric_result_analysis,en
child WBC is 5.2,report_numeric_result_analysis,en
My child report shows WBC 5.2,report_numeric_result_analysis,en
Please analyze child WBC 5.2,report_numeric_result_analysis,en
What does it mean if a child report has WBC 5.2?,report_numeric_result_analysis,en
The child blood report says WBC 5.2,report_numeric_result_analysis,en
child WBC is 9.6,report_numeric_result_analysis,en
My child report shows WBC 9.6,report_numeric_result_analysis,en
Please analyze child WBC 9.6,report_numeric_result_analysis,en
What does it mean if a child report has WBC 9.6?,report_numeric_result_analysis,en
The child blood report says WBC 9.6,report_numeric_result_analysis,en
child WBC is 13.0,report_numeric_result_analysis,en
My child report shows WBC 13.0,report_numeric_result_analysis,en
Please analyze child WBC 13.0,report_numeric_result_analysis,en
What does it mean if a child report has WBC 13.0?,report_numeric_result_analysis,en
The child blood report says WBC 13.0,report_numeric_result_analysis,en
child WBC is 16.2,report_numeric_result_analysis,en
My child report shows WBC 16.2,report_numeric_result_analysis,en
Please analyze child WBC 16.2,report_numeric_result_analysis,en
What does it mean if a child report has WBC 16.2?,report_numeric_result_analysis,en
The child blood report says WBC 16.2,report_numeric_result_analysis,en
child RBC is 3.7,report_numeric_result_analysis,en
My child report shows RBC 3.7,report_numeric_result_analysis,en
Please analyze child RBC 3.7,report_numeric_result_analysis,en
What does it mean if a child report has RBC 3.7?,report_numeric_result_analysis,en
The child blood report says RBC 3.7,report_numeric_result_analysis,en
child RBC is 4.1,report_numeric_result_analysis,en
My child report shows RBC 4.1,report_numeric_result_analysis,en
Please analyze child RBC 4.1,report_numeric_result_analysis,en
What does it mean if a child report has RBC 4.1?,report_numeric_result_analysis,en
The child blood report says RBC 4.1,report_numeric_result_analysis,en
child RBC is 4.8,report_numeric_result_analysis,en
My child report shows RBC 4.8,report_numeric_result_analysis,en
Please analyze child RBC 4.8,report_numeric_result_analysis,en
What does it mean if a child report has RBC 4.8?,report_numeric_result_analysis,en
The child blood report says RBC 4.8,report_numeric_result_analysis,en
child RBC is 5.3,report_numeric_result_analysis,en
My child report shows RBC 5.3,report_numeric_result_analysis,en
Please analyze child RBC 5.3,report_numeric_result_analysis,en
What does it mean if a child report has RBC 5.3?,report_numeric_result_analysis,en
The child blood report says RBC 5.3,report_numeric_result_analysis,en
child HGB is 9.8,report_numeric_result_analysis,en
My child report shows HGB 9.8,report_numeric_result_analysis,en
Please analyze child HGB 9.8,report_numeric_result_analysis,en
What does it mean if a child report has HGB 9.8?,report_numeric_result_analysis,en
The child blood report says HGB 9.8,report_numeric_result_analysis,en
child HGB is 10.5,report_numeric_result_analysis,en
My child report shows HGB 10.5,report_numeric_result_analysis,en
Please analyze child HGB 10.5,report_numeric_result_analysis,en
What does it mean if a child report has HGB 10.5?,report_numeric_result_analysis,en
The child blood report says HGB 10.5,report_numeric_result_analysis,en
child HGB is 11.7,report_numeric_result_analysis,en
My child report shows HGB 11.7,report_numeric_result_analysis,en
Please analyze child HGB 11.7,report_numeric_result_analysis,en
What does it mean if a child report has HGB 11.7?,report_numeric_result_analysis,en
The child blood report says HGB 11.7,report_numeric_result_analysis,en
child HGB is 13.4,report_numeric_result_analysis,en
