text,intent,lang
Age is 24 WBC is 13.0 PLT is 365,report_numeric_result_analysis,en
"In my report WBC is 13.0, PLT is 365, and age is 24",report_numeric_result_analysis,en
Please analyze WBC 13.0 and PLT 365 for age 24,report_numeric_result_analysis,en
"Report values: age 24, WBC 13.0, PLT 365",report_numeric_result_analysis,en
Age is 24 WBC is 5.8 PLT is 120,report_numeric_result_analysis,en
"In my report WBC is 5.8, PLT is 120, and age is 24",report_numeric_result_analysis,en
Please analyze WBC 5.8 and PLT 120 for age 24,report_numeric_result_analysis,en
"Report values: age 24, WBC 5.8, PLT 120",report_numeric_result_analysis,en
Age is 24 WBC is 3.5 PLT is 450,report_numeric_result_analysis,en
"In my report WBC is 3.5, PLT is 450, and age is 24",report_numeric_result_analysis,en
Please analyze WBC 3.5 and PLT 450 for age 24,report_numeric_result_analysis,en
"Report values: age 24, WBC 3.5, PLT 450",report_numeric_result_analysis,en
Age is 24 MCV is 72 RDW is 18.5,report_numeric_result_analysis,en
"In my report MCV is 72, RDW is 18.5, and age is 24",report_numeric_result_analysis,en
Please analyze MCV 72 and RDW 18.5 for age 24,report_numeric_result_analysis,en
"Report values: age 24, MCV 72, RDW 18.5",report_numeric_result_analysis,en
Age is 24 MCV is 88 RDW is 13.2,report_numeric_result_analysis,en
"In my report MCV is 88, RDW is 13.2, and age is 24",report_numeric_result_analysis,en
Please analyze MCV 88 and RDW 13.2 for age 24,report_numeric_result_analysis,en
"Report values: age 24, MCV 88, RDW 13.2",report_numeric_result_analysis,en
Age is 24 MCV is 104 RDW is 11.8,report_numeric_result_analysis,en
"In my report MCV is 104, RDW is 11.8, and age is 24",report_numeric_result_analysis,en
Please analyze MCV 104 and RDW 11.8 for age 24,report_numeric_result_analysis,en
"Report values: age 24, MCV 104, RDW 11.8",report_numeric_result_analysis,en
Age is 24 RBC is 3.1 HGB is 9.8,report_numeric_result_analysis,en
"In my report RBC is 3.1, HGB is 9.8, and age is 24",report_numeric_result_analysis,en
Please analyze RBC 3.1 and HGB 9.8 for age 24,report_numeric_result_analysis,en
"Report values: age 24, RBC 3.1, HGB 9.8",report_numeric_result_analysis,en
Age is 24 RBC is 4.8 HGB is 13.9,report_numeric_result_analysis,en
"In my report RBC is 4.8, HGB is 13.9, and age is 24",report_numeric_result_analysis,en
Please analyze RBC 4.8 and HGB 13.9 for age 24,report_numeric_result_analysis,en
"Report values: age 24, RBC 4.8, HGB 13.9",report_numeric_result_analysis,en
Age is 24 RBC is 6.5 HGB is 17.8,report_numeric_result_analysis,en
"In my report RBC is 6.5, HGB is 17.8, and age is 24",report_numeric_result_analysis,en
Please analyze RBC 6.5 and HGB 17.8 for age 24,report_numeric_result_analysis,en
"Report values: age 24, RBC 6.5, HGB 17.8",report_numeric_result_analysis,en
Age is 43 WBC is 13.0 PLT is 365,report_numeric_result_analysis,en
"In my report WBC is 13.0, PLT is 365, and age is 43",report_numeric_result_analysis,en
Please analyze WBC 13.0 and PLT 365 for age 43,report_numeric_result_analysis,en
"Report values: age 43, WBC 13.0, PLT 365",report_numeric_result_analysis,en
Age is 43 WBC is 5.8 PLT is 120,report_numeric_result_analysis,en
"In my report WBC is 5.8, PLT is 120, and age is 43",report_numeric_result_analysis,en
Please analyze WBC 5.8 and PLT 120 for age 43,report_numeric_result_analysis,en
"Report values: age 43, WBC 5.8, PLT 120",report_numeric_result_analysis,en
Age is 43 WBC is 3.5 PLT is 450,report_numeric_result_analysis,en
"In my report WBC is 3.5, PLT is 450, and age is 43",report_numeric_result_analysis,en
Please analyze WBC 3.5 and PLT 450 for age 43,report_numeric_result_analysis,en
"Report values: age 43, WBC 3.5, PLT 450",report_numeric_result_analysis,en
Age is 43 MCV is 72 RDW is 18.5,report_numeric_result_analysis,en
"In my report MCV is 72, RDW is 18.5, and age is 43",report_numeric_result_analysis,en
Please analyze MCV 72 and RDW 18.5 for age 43,report_numeric_result_analysis,en
"Report values: age 43, MCV 72, RDW 18.5",report_numeric_result_analysis,en
Age is 43 MCV is 88 RDW is 13.2,report_numeric_result_analysis,en
"In my report MCV is 88, RDW is 13.2, and age is 43",report_numeric_result_analysis,en
Please analyze MCV 88 and RDW 13.2 for age 43,report_numeric_result_analysis,en
"Report values: age 43, MCV 88, RDW 13.2",report_numeric_result_analysis,en
Age is 43 MCV is 104 RDW is 11.8,report_numeric_result_analysis,en
"In my report MCV is 104, RDW is 11.8, and age is 43",report_numeric_result_analysis,en
Please analyze MCV 104 and RDW 11.8 for age 43,report_numeric_result_analysis,en
"Report values: age 43, MCV 104, RDW 11.8",report_numeric_result_analysis,en
